a_DT_date,a_DT_time,a_rank,b_name,c_symbol,d_price,e_P24h,f_P7d,g_marketCap,h_volumnCOIN,h_volumnUSD,i_circulatingSupply,k_imageChart
12/11/2021,12:08:32,307,Enzyme,MLN,$129.84,-0.45,-6.34,"$232,777,314","62,899 MLN","$8,167,080","1,792,738 MLN",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1552.svg
12/11/2021,12:08:32,702,Oxbull.tech,OXB,$5.27,+5.62,+9.56,"$39,527,924","86,044 OXB","$453,394","7,501,504 OXB",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8649.svg
12/11/2021,12:08:32,703,BabySwap,BABY,$0.3719,+0.03,+1.78,"$39,449,207","62,765,897 BABY","$23,343,053","106,072,880 BABY",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/10334.svg
12/11/2021,12:08:32,704,Peercoin,PPC,$1.44,-2.86,+4.17,"$39,325,862","993,679 PPC","$1,435,009","27,231,388 PPC",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5.svg
12/11/2021,12:08:32,705,Smartlands Network,SLT,$7.69,-0.34,+0.45,"$39,243,551","12,648 SLT","$97,310","5,100,896 SLT",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2471.svg
12/11/2021,12:08:32,706,Cortex,CTXC,$0.2089,+1.22,-6.08,"$38,884,520","17,893,841 CTXC","$3,737,909","186,145,089 CTXC",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2638.svg
12/11/2021,12:08:32,707,Vesper,VSP,$7.15,+5.04,+2.54,"$38,709,152","108,203 VSP","$773,415","5,415,498 VSP",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8492.svg
12/11/2021,12:08:32,308,RSK Infrastructure Framework,RIF,$0.2893,-0.31,+5.72,"$230,529,621","9,299,384 RIF","$2,690,424","796,820,007 RIF",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3701.svg
12/11/2021,12:08:32,309,ARPA Chain,ARPA,$0.2026,+7.82,+3.87,"$228,787,551","1,607,809,953 ARPA","$325,768,083","1,129,168,018 ARPA",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4039.svg
12/11/2021,12:08:32,310,Beta Finance,BETA,$1.43,-0.90,-4.95,"$228,895,767","30,965,559 BETA","$44,299,284","160,000,000 BETA",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/11307.svg
12/11/2021,12:08:32,708,Arianee,ARIA20,$1.49,+2.65,-5.66,"$38,596,340","6,448 ARIA20","$9,629","25,844,281 ARIA20",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8276.svg
12/11/2021,12:08:32,709,Hiblocks,HIBS,$0.004162,-1.47,+1.17,"$38,322,245","138,478,925 HIBS","$576,410","9,206,678,425 HIBS",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6470.svg
12/11/2021,12:08:32,710,TE-FOOD,TONE,$0.06676,-0.05,-1.54,"$37,967,174","4,967,303 TONE","$331,610","568,723,686 TONE",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2578.svg
12/11/2021,12:08:32,1001,CWV Chain,CWV,$0.004433,-1.33,-1.04,"$15,697,269","1,540,001 CWV","$6,827","3,540,912,311 CWV",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3609.svg
12/11/2021,12:08:32,1002,e-Money,NGM,$0.7918,+0.95,-9.20,"$15,646,941","247,007 NGM","$195,589","19,760,286 NGM",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8279.svg
12/11/2021,12:08:32,1003,SALT,SALT,$0.195,+3.46,-4.11,"$15,654,887","225,349 SALT","$43,942","80,283,615 SALT",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1996.svg
12/11/2021,12:08:32,1004,TOWER,TOWER,$0.06536,-0.80,-2.51,"$15,531,812","15,450,700 TOWER","$1,009,921","237,619,987 TOWER",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8620.svg
12/11/2021,12:08:32,1005,ExNetwork Token,EXNT,$0.2456,+6.45,-8.72,"$15,484,267","169,304 EXNT","$41,579","63,050,105 EXNT",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6882.svg
12/11/2021,12:08:32,1006,Hiveterminal Token,HVN,$0.03087,+4.93,-4.79,"$15,436,572","1,162,362 HVN","$35,886","500,000,000 HVN",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1950.svg
12/11/2021,12:08:32,1007,Sakura,SKU,$0.2908,-1.21,-8.31,"$15,413,778","2,542,307 SKU","$739,369","53,000,000 SKU",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/11230.svg
12/11/2021,12:08:32,1008,Olyseum,OLY,$0.01293,+2.02,+2.13,"$15,347,542","5,417,202 OLY","$70,051","1,186,856,256 OLY",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8484.svg
12/11/2021,12:08:32,1009,NewYorkCoin,NYC,$0.0001062,-3.08,+5.29,"$15,273,361","3,283,207,037 NYC","$348,812","143,761,098,438 NYC",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/298.svg
